INDEX,WALLET,HE (5%)
1,0x5186B5196334991B5BeA3E24be7e24F27D8ae0Fd,"900,000"
2,0x856786EeA84c39282e8F68B6Bf2b82478ab126cA,"1,000,000"
3,0x94C840ff0DB97bCbD4058AbeD14Ba3721831b622,"500,000"
4,0x7117F13c6048cCca52fC540A5a244a5CA28FC9c2,"500,000"
5,0x650cAA46F0127395E73f2B48Dce5474f1e30CB12,"500,000"
6,0x842009AD060Bc021E4E6b881a78BAcfd1247Ea61,"250,000"
7,0xcEd29BA48490C51E4348e654C313AC97762beCCC,"290,000"
8,0x87Af77cB36F03f44EBF47aaaB3ab1241b68fB7eA,"150,000"
9,0x4a5BB1c9347A0d4F7e06a29239162f03647d9232,"100,000"
10,0xd8190FD3E70A76a2222E692eba259b77ca903594,"100,000"
11,0x5ba7614B0b5E901A762AF4c03C6a33D85D7B35DD,"100,000"
12,0x529C9428572fFd389b031f7bd5bdC44b3F471D8e,"75,000"
13,0xb9b9926DFb2C021FcD8F2366961186A2760716E3,"75,000"
14,0xce0d229d6dd09c2c92947294884cb9596bf42735,"75,000"
15,0x01204297dB860f097C2902Be6D6aC3e654B89c66,"50,000"
16,0x729a9d234E2eAbB0bA5cC7Fb0FAd30EFad5D2694,"50,000"
17,0x5425dE1A8A51B3bF428f9740C6C1BD0e179aF4f0,"25,000"
18,0x71334D8E5179831aDF90Ed06BAF08Bf27fb97F13,"15,000"
19,0x58C4b674E22576E895a59E2bEC960B51491a140E,"10,000"
20,0xbF5973e9Ade4EDE093D1b2F660836F223850d7F3,"10,000"
21,0x8ce138180F4e688dD081333207B7E94d7963898b,"12,500"
22,0x6a104D55eBC2CEA43E1688e7b75881FE81E0Ff34,"12,500"
23,0x49Dbf3CB9a5e8cd64444a1d0dFADBcb7cb3f65d7,"12,500"
24,0xd0c9fECc2902A23370fC3b412AFF82f4d64F0D55,"12,500"
25,0xfa4937670686c09f180c71a9b93e2ffcc3a79f47,"17,500"
26,0xa75F9C8246f7269279bE4c969e7Bc6Eb619cC204,"2,500"
27,0x899754fEE6E815276aE0A5D47CDFCee68f3da862,"22,000"
28,0xd999074F947f9813bDD161Fb2452332ac6a4D695,"33,000"
29,0x1F1356Ff901845f4A57f87cEDA516825b4F251f3,"25,000"
30,0x572a75a82c7eBAd2C92dD7617740dFdaF420e518,"25,000"
31,0x8E79c736De9c10c4b9909077560DcD2F78b0B969,"20,000"
32,0xaF23aE2F72331AFFB8EBeBB1a5a8DD68335Ce538,"12,500"
33,0x8c902B8839010BB1761201d42f788e7eD9FCFD77,"12,500"
34,0xbD8C56382Cf542D9e0087F6a37c565918EE47E1F,"12,500"
35,0xE88540354a9565300D2E7109d7737508F4155A4d,"25,000"
36,0x296D171a2aF161B53A8780D9d1EF02b1253824D9,"7,500"
37,0x0c3e73447Fb3a76aB0ae69C4D1097EED21067E33,"10,000"
38,0x57C191389cb4cf776830564e35d2cE3C5b744531,"6,250"
39,0x1B3C42BF691A4AB3767A5D7608eF6Ff9E9724721,"5,000"
40,0xf2b96F9C0F597C5926ab87af9511AEA8Cd078C43,"5,000"
41,0x396E8E9611294D5CA634DD10479ac9C68dF04b03,"5,000"
